Lat_dec,Long_dec,Elevation,Name
50.85166,143.14166,1609,Gora Lopatina
55.06,108.685,2588,Gora Cherskogo
56.06916,115.86166,2363,Gora Shaman
55.86083,160.60583,3080,Gora Oval'naya Zimina
53.25583,158.83666,2741,Avachinsky V.
54.52833,159.80416,2353,Sopka Taunshits
45.3375,147.91916,1585,Gora Bogdan Khmel'nitskiy
46.81472,151.78666,1539,Milne V.
53.89333,96.0075,2891,Pik Grandiozniyy
55.13083,160.32,2375,Kizimen V.
52.58,94.27,2522,Khrebet Baldyrgannyg HP
56.67222,119.125,2570,Khrebet Udokan HP
59.0675,151.53166,1548,Skalistaya
52.4325,137.66166,1573,Omel'dinskiy Khrebet HP
52.84333,99.69416,3149,Khrebet Kropotkina HP
53.64083,97.2375,2938,Bolshoi Sayan Range HP
27.98833,86.92416,8848,Mt. Everest
-4.08361,137.18472,4884,Puncak Jaya
43.355,42.43916,5642,Gora El'brus
35.95583,52.10861,5610,Kuh-e Damavand
35.23777,74.58972,8125,Nanga Parbat
42.035,80.125,7439,Jengish Chokusu
43.80166,88.3325,5445,Bogda Shan
29.63166,95.055,7782,Namcha Barwa I
6.075,116.55833,4095,Gunung Kinabalu
35.8825,76.51333,8611,K2
23.47,120.9575,3952,Yu Shan
27.70333,88.1475,8586,Kangchenjunga
36.25416,71.84333,7708,Tirich Mir
-1.69666,101.26416,3805,Gunung Kerinci
35.36055,138.72777,3776,Fuji-san
-8.1075,112.9225,3676,Gunung Semeru
-8.41,116.45833,3726,Gunung Rinjani
29.59583,101.87916,7556,Minya Konka
39.7025,44.3,5137,Ararat
38.59416,75.31333,7649,Kongur Tagh
-3.385,120.02416,3478,Bulu Rantemario
38.9425,72.015,7495,Pik Imeni Ismail Samani 
28.69666,83.48833,8167,Dhaulagiri I
38.26722,47.83472,4811,Kuh-e-Sabalan
-7.23916,109.22,3428,Gunung Slamet
43.07333,94.34666,4886,Tomurty
27.09833,100.175,5596,Shanzidou
30.37666,79.97083,7816,Nanda Devi
36.51,74.5225,7795,Batura Sar I
-7.6275,111.19416,3265,Gunung Lawu
28.55,84.56083,8163,Manaslu
42.26166,80.89,6627,Xuelian Feng
-8.12583,114.04583,3332,Gunung Raung
-3.17333,129.455,3027,Gunung Binaiya
-8.34083,115.50333,3031,Gunung Agung
28.04833,90.45416,7570,Kangkar P�nzum
28.59583,83.82083,8091,Annapurna I
43.11833,77.34083,4978,Talghar Shyngy
6.9875,125.27083,2954,Mt. Apo
-8.90666,125.49333,2963,Mt. Ramelau
29.81416,94.96833,7294,Gyalha Peri
38.86583,75.10833,6727,Chakragil
3.7975,97.21916,3466,Gunung Leuser
16.5975,120.89916,2922,Mt. Pulog
28.6,61.1325,3941,Kuh-e Taftan
23.23694,57.26388,3019,Jebel Shams
28.3525,85.77916,8027,Shisha Pangma
25.74,95.0375,3826,Saramati
-5.34666,119.93166,2874,Moncong Lompobatang
36.17916,70.98333,6843,Kuh-e Bandaka
36.15416,72.3275,6542,Buni Zom
30.92,79.59166,7756,Kamet I
36.1425,74.48916,7788,Rakaposhi
31.54333,103.85333,4969,Jiuding Shan
-7.76416,112.58916,3339,Gunung Arjuna
-6.89333,108.40666,3078,Gunung Careme
39.34333,72.8775,7134,Ibn Sina Peak 
30.43583,81.29583,7694,Gurla Mandhata
-1.15666,133.98,2940,Pegunungan Arfak
-4.70833,140.28916,4760,Puncak Mandala
-7.96416,113.56666,3088,Gunung Argopuro
29.51166,57.27166,4500,Kuh-e Hazar
38.27833,75.11583,7509,Muztagh Ata
-8.24666,117.95833,2722,Gunung Tambora
-3.3,126.22,2700,Gunung Kapalatmada
37.1625,72.48166,6723,Pik Karla Marxsa
41.05916,77.68333,5982,Pik Dankova
31.10666,102.90166,6250,Yaomei Feng
30.95166,51.4375,4409,Kuh-e Dinar
41.99333,128.0775,2744,Paektu-san
